S. No.,cleaned_text,numeric_label
318,studies alone without anyones help cant need study,0
319,yeah work fine started last week stuff dull easy guys fun,0
320,urgent please call landline cash holiday await collection cs sae po box mxy,1
321,k im leaving soon little,0
322,u come n search tat vidnot finishd,0
323,gud ni dearslp welltake careswt dreamsmuah,0
324,havent eaten day im sitting staring juicy pizza cant eat meds ruining life,0
325,thank princess want see nice juicy booty,0
326,thanks temales wonderful thank great week,0
327,course dont tease know simply must see grins keep posted prey loving smile devouring kiss,0
328,hmm thinking lor,0
329,part checking iq,0
330,gud gudk chikku tke care sleep well gud nyt,0
331,jay wants work first hows sound,0
332,yeah still give ride,0
333,someonone know trying contact via dating service find could call mobile landline boxskch,1
334,uworld site buying qbank buying self assessment also,0
335,ok cool see ya,0
336,hey project started aha da,0
337,chosen receive award pls call claim number collect award selected receive valued mobile customer,1
338,realise busy guy im trying bother get exams outta way try cars gr day,0
339,nope im still market,0
340,means u could keep ur words,0
341,private account statement fone shows unredeemed points call identifier code expires,1
342,remet alex nichols middle school turns hes dealing,0
343,prabhaim sorydarealyfrm heart im sory,0
344,smile pleasure smile pain smile trouble pours like rain smile sum hurts u smile becoz someone still loves see u smiling,0
345,oh fuck juswoke bed boatin docks slept wid year old spinout giv u da gossip lr xxx,0
346,die want u stuffs,0
347,nightswe nt staying port step liaotoo ex,0
348,jane babes goin wrk feel ill lst nite foned already cover chuck,0
349,take exam march,0
350,pls needs dat slowly vomit,0
351,accidentally brought em home box,0
352,well thats nice bad cant eat,0
353,late,0
354,keep ten rs shelf buy two egg,0
355,natalja f inviting friend reply yes see wwwsmsacunat stop send stop frnd,1
356,pa selected,0
357,kkhow business,0
358,yesterday true true,0
359,dai downloaded exe file run exe installing,0
360,know thinkin malaria relax children cant handle malaria would worse gastroenteritis takes enough replace loss temp reduce give malaria meds vomit self limiting illness means days completely stop,0
361,hiwhat think match,0
362,babe im answering cant see maybe youd better reboot ym got photo great,0
363,reach ur home ltgt minutes,0
364,mobile mths update free oranges latest colour camera mobiles unlimited weekend calls call mobile upd freefone stoptxt,1
365,come get b quite diff guess rite,0
366,fineabsolutly fine,0
367,wot student discount u get books,0
368,costa del sol holiday await collection call toclaim sae tc pobox stockport skxh costpm maxmins,1
369,call germany pence per minute call fixed line via access number prepayment direct access wwwtelediscountcouk,1
370,ugh leg hurts musta overdid mon,0
371,shes fine difficulties phone works mine pls send another friend request,0
372,like cheap im happy splash wine makes feel better,0
373,spook mob halloween collection logo pic message plus free eerie tone txt card spook zed p per logopic,1
374,darren saying dat u meeting da ge den dun meet dinner cos later u leave xy feel awkward den u meet lunch lor,0
375,ok take ur time n enjoy ur dinner,0
376,wylie tampa sarasota,0
377,oh oh den muz change plan liao go back yan jiu,0
378,sorry ill call later,0
379,records indicate u maybe entitled pounds compensation accident claim free reply claim msg stop txt stop,1
380,ree entry weekly comp chance win ipod txt pod get entry std txt rate tcs apply details,1
381,okie,0
382,time u wrkin,0
383,uploaded mine facebook,0
384,cooked rather nice salmon la,0
385,im town ill jus take mrt later,0
386,fuuuuck need stop sleepin sup,0
387,sent like,0
388,k sure relatives home sms de pls,0
389,babe fucking love know fuck good hear voice need crave cant get enough adore ahmad kisses,0
390,hi hope u r ok said would text hasnt u seen let gently please,0
391,sms auction brand new nokia auction today auction free join take part txt nokia,1
392,strange watching nd one im bed sweet dreams miss u,0
393,company goodenvironment terrific food really nice,0
394,rajipls favour pls convey birthday wishes nimya pls today birthday,0
395,water logging desert geoenvironmental implications,0
396,u,0
397,aight text tonight well see whats,0
398,oh k come tomorrow,0
399,im school n ill da lab stuff give call r done,0
400,im going lunch,0
401,ive got salt rub open wounds like,0
402,oh charge camera,0
403,dun believe leh tot told true already thk muz c us tog believe,0
404,still got lessons sch,0
405,congrats mobile g videophones r call videochat wid ur mates play java games dload polyph music noline rentl bx ip p,1
406,ok leave need ask,0
407,send text well skype later,0
408,lol need cash nitros hurry come crash,0
409,ok r meeting later,0
410,bluray player,0
411,come karnan car please wait till pm directly goto doctor,0
412,k k sms chat,0
413,sir need velusamy sirs date birth company bank facilities details,0
414,new years eve ok went party boyfriend si hey,0
415,like ltgt question,0
416,havent left yet probably gon na til dinner,0
417,idk im sitting stop shop parking lot right bawling eyes feel like im failure everything nobody wants feel like im failing,0
418,problem renewal ill right away dont know details,0
419,happy new year u ur familymay new year bring happiness stability tranquility ur vibrant colourful life,0
420,pls call da happen,0
421,kthen come wenever u lik come also tel vikky come getting free time,0
422,get garden ready summer free selection summer bulbs seeds worth scotsman saturday stop go notxtcouk,1
423,oh unintentionally bad timing great fingers trains play along give fifteen min warning,0
424,aiyar u poor thing give u support k jia ill think u,0
425,im office dawhere,0
426,hi darlin im helens fone im gon na b princes nite please come tb love kate,0
427,started dont stop pray good ideas anything see help guys ill forward link,0
428,free st week nokia tone ur mobile every week txt nokia get txting tell ur mates wwwgetzedcouk pobox wwq normptone,1
429,yeah imagine would really gentle unlike docs treat patients like turkeys,0
430,oh shut omg yesterday dream kids boys pissed kids boys even told mark dream changing diapers cause im getting owed face,0
431,yup havent want go yoga call book,0
432,costa del sol holiday await collection call toclaim sae tc pobox stockport skxh costpm maxmins,1
433,nice pubs near frankie n bennys near warner cinema,0
434,sorry grocers,0
435,sday joinedso training started today,0
436,hmm dunno leh mayb bag goigng dat small jus anything except perfume smth dat keep,0
437,still working time also tried adding zeros savings checking ltgt,0
438,sucks ill go u hair youll free right,0
439,way,0
440,rose redred bloodblood heartheart u u send tis ur friends including u like u get back u r poor relation u need support u r frnd many luvs u praying god marry u try,0
441,wot wed nite til,0
442,cuz ibored wan na study,0
443,wonderful okors great month cherish guys wish well day mojibiola,0
444,work ah den plus lor u workin oso rite den go orchard lor place go liao,0
445,impossible argue always treats like sub like never released remind necessary,0
446,hi chikku send nice msgs,0
447,enufcredeit tocallshall ileave uni get bus yor house,0
448,oops ltgt,0
449,private account statement,1
450,lol real told dad cancer,0
451,driving training,0
452,aslamalaikkuminsha allah tohar beeen muht albi mufti mahfuuzmeaning,0
453,thanks fills complete calm reassurance,0
454,get lions england tone reply lionm mono lionp poly go wwwringtonescouk original n best tones gbp network operator rates apply,1
455,argh fuck nobody town,0
456,u definitely need module e humanities dis sem izzit u wan take modules st,0
457,december mobile mths entitled update latest colour camera mobile free call mobile update vco free,1
458,ive reached sch already,0
459,new message please call,1
460,oh got many responsibilities,0
461,sign maturity start saying big things actually start understanding small things nice evening bslvyl,0
462,really need kiss u miss u baby ur baby eva,0
463,ding ya break fassyole blacko londn,0
464,wnt buy bmw car urgentlyits vry urgentbut hv shortage ltgt lacsthere source arng dis amt ltgt lacsthats prob,0
465,boy loved gal propsd bt didnt mind gv lv lttrs bt frnds threw thm boy decided aproach gal dt time truck speeding towards gal wn hit girld boy ran like hell n saved asked hw cn u run fast boy replied boost secret energy n instantly girl shouted energy n thy lived happily gthr drinking boost evrydy moral story hv free msgsd gud ni,0
466,news hassling get weed week andres money haughaighgtujhyguj,0
467,msg mobile content order resent previous attempt failed due network error queries customersqueriesnetvisionukcom,1
468,nope thats fine might nap tho,0
469,aight call youre close,0
470,ah well confuses things doesnt thought friends maybe wrong thing already sort invited tho may come cos money,0
471,themobhit link get premium pink panther game new sugababes crazy zebra animation badass hoody wallpaperall free,1
472,sorry mates phone didnt write love kate,0
473,im really really broke oh amount small even ltgt,0
474,kkthis month kotees birthday know,0
475,hi shanilrakhesh herethanksi exchanged uncut diamond stuffleaving back excellent service dino prem,0
476,gokila talking aha,0
477,fri ah okie lorgoin drivin den go shoppin tt,0
478,check rooms befor activities,0
479,st andre virgils cream,0
480,type stuff sing,0
481,wont anything de,0
482,good morning im suffering fever dysentry able come office today,0
483,omg one thing another cat worms bad day end,0
484,sorry missed call please call back,0
485,hey happy birthday,0
486,aiya discuss later lar pick,0
487,amazing rearrange letters gives meaning dormitory dirty room astronomer moon starer eyes see election results lies lets recount motherinlaw woman hitler eleven plus two twelve plus one amazing,0
488,keep ur problems ur heart bcoz nobody fight u u amp u fight ur self amp win battle vivekanand g sd ham yeah give call youve got minute ham hi babe uawakefeellikw shitjustfound via aletter thatmum gotmarried thnovbehind ourbacks fuckinniceselfishdeviousbitchanywayil call u,0
489,mark works tomorrow gets work house meet u afterwards,0
490,want new nokia colour phone deliveredtomorrow free minutes mobile free texts free camcorder reply call,1
491,guy flash go call call madam take care oh,0
492,well im glad didnt find totally disagreeable lol,0
493,nd attempt contract u weeks top prize either cash prize call,1
494,want sent ltgt mesages today thats sorry hurts,0
495,gud ni dearslp welltake careswt dreamsmuah,0
496,win shopping spree every week starting play text store skilgme tscs winawk age perweeksub,1
497,different styles,0
498,p alfie moons children need song ur mob tell ur ms txt tone charity nokias poly charity polys zed profit charity,1
499,hai dear friends new amp present number rajitha raj ranju,0
500,talk g x,0
501,uk break accommodationvouchers terms conditions apply claim mustprovide claim number,1
502,calls later afternoon onwords mtnl service get problem south mumbai hear cannt listen,0
503,brother transfered ltgt ltgt pa,0
504,dunno lei like dun haf,0
505,ok also wan watch e pm show,0
506,havent stuck orchard dads car going dinner u leh r free tonight,0
507,sorry ill call later meeting sir,0
508,think disturbing da,0
509,free video camera phones half price line rental mths cross ntwk mins txts call mobileupd calloptout,1
510,geeeee internet really bad today eh,0
511,hey next sun theres basic yoga course bugis go pilates intro next sat tell time r free,0
512,goodnight da thangam really miss u dear,0
513,train back northampton im afraid im staying skyving today ho ho around wednesday though fancy comedy club week way,0
514,double mins double txt price linerental latest orange bluetooth mobiles call mobileupd latest offers calloptoutlf,1
515,lmao know well,0
516,tick tick tick could die loneliness know pouts stomps feet need,0
517,sis lor juz watched italian job,0
518,vote wherever heart guides,0
519,yeah basically time next week get away mom amp get,0
520,hmmmstill dont opener,0
521,desires u going doctor liver get bit stylish get ur hair managed thats,0
522,sent jd customer service cum accounts executive ur mail id details contact us,0
523,dunno dad said coming home bring us lunch yup go w u lor call u reach school lor,0
524,ic lol play doors sometime yo,0
525,jamster get free wallpaper text heart tc apply need help call,1
526,ran younger man make pretty babies together,0
527,natalie f inviting friend reply yes see wwwsmsacunataliek stop send stop frnd,1
528,pls clarify back open return ticket preponed go back kerala,0
529,thanks talk saturday dear cherish brother role model,0
530,didnt hear,0
531,wont believe true incredible txts reply g learn truly amazing things blow mind ofwd ptxt,1
532,many times told stage use laugh listen aha,0
533,want go perumbavoor,0
534,really good see day dudette missing,0
535,ok vldo u know got adsense approved,0
536,hey inconvenient sis huh,0
537,coming friday leave pongaldo get news work place,0
538,id like tell deepest darkest fantasies call pmin stop texts call nat rate,1
539,go chase run shes crossing street,0
540,private account statement shows unredeemed sim points call identifier codexx expires,1
541,ur cashbalance currently pounds maximize ur cashin send go pmeg cc hgsuitelands rowwjhl,1
542,gon na ask lol think,0
543,happen,0
544,anyway holla whenever youre around need excuse go creep people sarasota,0
545,yes possible dint try pls dont tell one k,0
546,sad puppy noise,0
547,cool last little getting time soon,0
548,great office today,0
549,babe talking think good boy missing love,0
550,dear xxxxxxx uve invited xchat final attempt contact u txt chat pmsgrcvdhgsuitelandsrowwjhl ldn yrs,1
551,hey galsu wan na meet dinner nte,0
552,think two still need get cash def ready,0
553,hello boytoy geeee im missing today like send tm remind im thinking loved loving kiss,0
554,uncle g checking rewarding month,0
555,u attend ur driving lesson many times wk n day,0
556,guaranteed cash prize claim yr prize call customer service representative ampm cost p,1
557,way rencontre meet mountains dont,0
558,mobile numberpls sms ur mail idconvey regards achanammarakheshqatar,0
559,go fool dont cheat others ok,0
560,oh k come tomorrow,0
561,ill b soon,0
562,guess pub im im happy pig clover whatever saying,0
563,theres someone year ltgt toyota camry like mr olayiwolas mileage ltgt kits clean need know much sell raise dough soon landing sell holla back,0
564,cds u congratulations ur awarded cd gift vouchers gift guaranteed freeentry wkly draw xt music tncs wwwldewcomwinppmxage,1
565,still around looking pick later,0
566,nope since ayo travelled forgotten guy,0
567,well like actually called someone punto woulda worse,0
568,hmph go head big baller,0
569,talk,0
570,esplanade lor else,0
571,happy new year hope good semester,0
572,looked addie goes back monday sucks,0
573,drive read need write,0
574,hey kate hope ur ok give u buz wedlunch go outsomewhere adrink towncud go watershd bit ppl fromwrk bthere love petexxx,0
575,im hungry buy smth home,0
576,made eta taunton planned hope thats still okday good see xx,0
577,phony award todays voda numbers ending xxxx selected receive award match please call quoting claim code standard rates app,1
578,telling coulda real valentine wasnt u never pick nothing,0
579,channel,0
580,rushing im working im school rush go hungry,0
581,thats u haf keep busy,0
582,dont let studying stress lr,0
583,goldviking inviting friend reply yes see wwwsmsacugoldviking stop send stop frnd,1
584,networking job,0
585,slept thinkthis time ltgt pm dangerous,0
586,said okay sorry,0
587,u today,0
588,spending new years brother family lets plan meet next week ready spoiled,0
589,jade paul didnt u txt u remember barmed want talk u txt,0
590,boy late home father power frndship,0
591,gorgeous keep pix cumming thank,0
592,yar tot u knew dis would happen long ago already,0
593,aiyo u poor thing u dun wan eat u bathe already,0
594,oops shower u called hey parking garage collapsed university hospital see im crazy stuff like happen,0
595,im fine hope good take care,0
596,hey come online use msn,0
597,supposed meet discuss abt trip thought xuhui told afternoon thought go lesson,0
598,cme want go hos morow wil cme got dear didnt say time,0
599,future planned tomorrow result today best present enjoy future,0
600,donate unicefs asian tsunami disaster support fund texting donate added next bill,1
601,urgent trying contact u todays draw shows prize guaranteed call land line claim valid hrs,1
602,people game im mall iouri kaila,0
603,dear voucher holder next meal us use following link pc enjoy dining experiencehttpwwwvouchmecometlpdiningasp,1
604,want see pretty pussy,0
605,yup ok,0
606,bit ur smile hppnss drop ur tear sorrow part ur heart life heart like mine wil care u forevr goodfriend,0
607,want ltgt rs dado,0
608,mean left early check cos im working,0
609,didnt u call lunch,0
610,im viveki got call number,0
611,ahhhhjust woken uphad bad dream u thoso dont like u right didnt know anything comedy night guess im,0
612,masters buy bb cos sale hows bf,0
613,u coming back dinner rite dad ask confirm wif u,0
614,lost pounds since doc visit last week woot woot im gon na celebrate stuffing face,0
615,welcome select service added benefits call specially trained advisors free mobile dialling,1
